,attraction,category,subcategory,date,avgTa,sumRn,sumSsHr,recommend
0,동문재래시장,쇼핑,시장,20211101,17.6,0.0,5.0,1
1,수목원길야시장,쇼핑,시장,20211101,17.6,0.0,5.0,1
2,제주민속오일시장,쇼핑,시장,20211101,17.6,0.0,5.0,1
3,함덕오일시장,쇼핑,시장,20211101,17.6,0.0,5.0,0
4,동문수산시장,쇼핑,시장,20211101,17.6,0.0,5.0,0
5,신라면세점제주점,쇼핑,면세점,20211101,17.6,0.0,5.0,0
6,서문공설시장,쇼핑,시장,20211101,17.6,0.0,5.0,0
7,한림매일시장,쇼핑,시장,20211101,17.6,0.0,5.0,0
8,새별오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,1
9,함덕해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,1
10,협재해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,1
11,이호테우해변,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
12,곽지해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
13,비자림,자연관광,자연공원,20211101,17.6,0.0,5.0,0
14,금오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
15,금능해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
16,김녕해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
17,월정리해변,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
18,제주절물자연휴양림,자연관광,자연공원,20211101,17.6,0.0,5.0,0
19,만장굴,자연관광,자연생태,20211101,17.6,0.0,5.0,0
20,제주항제6부두,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
21,세화해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
22,한라수목원,자연관광,자연공원,20211101,17.6,0.0,5.0,0
23,삼양해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
24,안돌오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
25,천진항,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
26,아끈다랑쉬,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
27,애월항,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
28,홍조단괴해빈,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
29,한담해변,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
30,다랑쉬오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
31,도두봉,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
32,하우목동항,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
33,아부오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
34,검멀레해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
35,도두항,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
36,한림항,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
37,구엄리돌염전,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
38,교래자연휴양림,자연관광,자연공원,20211101,17.6,0.0,5.0,0
39,수월봉,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
40,판포포구,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
41,비양도,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
42,하도해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
43,서우봉,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
44,차귀도포구,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
45,제주항제4부두,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
46,천아계곡,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
47,신창풍차해안,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
48,제주항제3부두,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
49,문도지오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
50,제주항제2부두,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
51,용눈이오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
52,종달리해변,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
53,용수리포구,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
54,평대리해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
55,한라산,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
56,하고수동해수욕장,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
57,거문오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
58,월령포구,자연관광,자연경관(하천/해양),20211101,17.6,0.0,5.0,0
59,큰노꼬메오름,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
60,용연계곡,자연관광,자연경관(산),20211101,17.6,0.0,5.0,0
61,산굼부리,문화관광,복합관광시설,20211101,17.6,0.0,5.0,1
62,아르떼뮤지엄제주,문화관광,전시시설,20211101,17.6,0.0,5.0,1
63,9.81파크,문화관광,테마공원,20211101,17.6,0.0,5.0,1
64,에코랜드테마파크,문화관광,테마공원,20211101,17.6,0.0,5.0,0
65,노형수퍼마켙,문화관광,기타문화관광지,20211101,17.6,0.0,5.0,0
66,한림공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
67,제주공룡랜드,문화관광,테마공원,20211101,17.6,0.0,5.0,0
68,메이즈랜드,문화관광,도시공원,20211101,17.6,0.0,5.0,0
69,이호랜드방파제등대,문화관광,랜드마크관광,20211101,17.6,0.0,5.0,0
70,화조원,문화관광,테마공원,20211101,17.6,0.0,5.0,0
71,김녕미로공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
72,송훈파크,문화관광,기타문화관광지,20211101,17.6,0.0,5.0,0
73,제주워터서커스,문화관광,공연시설,20211101,17.6,0.0,5.0,0
74,라온프라이빗타운,문화관광,복합관광시설,20211101,17.6,0.0,5.0,0
75,새별프렌즈,문화관광,테마공원,20211101,17.6,0.0,5.0,0
76,환상숲곶자왈공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
77,사라봉공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
78,제주불빛정원,문화관광,테마공원,20211101,17.6,0.0,5.0,0
79,제주유리의성,문화관광,전시시설,20211101,17.6,0.0,5.0,0
80,선녀와나무꾼테마공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
81,싱계물공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
82,제주돌문화공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
83,브릭캠퍼스제주,문화관광,전시시설,20211101,17.6,0.0,5.0,0
84,수월봉전망대,문화관광,랜드마크관광,20211101,17.6,0.0,5.0,0
85,우도정원,문화관광,테마공원,20211101,17.6,0.0,5.0,0
86,어영소공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
87,클랭블루,문화관광,전시시설,20211101,17.6,0.0,5.0,0
88,액티브파크,문화관광,테마공원,20211101,17.6,0.0,5.0,0
89,그리스신화박물관,문화관광,전시시설,20211101,17.6,0.0,5.0,0
90,생각하는정원,문화관광,테마공원,20211101,17.6,0.0,5.0,0
91,삼무공원,문화관광,도시공원,20211101,17.6,0.0,5.0,0
92,제주세계자연유산센터,문화관광,전시시설,20211101,17.6,0.0,5.0,0
93,제주민속자연사박물관,문화관광,전시시설,20211101,17.6,0.0,5.0,0
94,한라산둘레길사려니숲길,레저스포츠,기타레저스포츠,20211101,17.6,0.0,5.0,1
95,한담해안산책로,레저스포츠,기타레저스포츠,20211101,17.6,0.0,5.0,1
96,비밀의숲,레저스포츠,기타레저스포츠,20211101,17.6,0.0,5.0,1
